今日新增确诊,今日治愈,更新日期,现有确诊,省份,累计死亡,累计治愈,累计确诊
0,0,2020-05-06 18:16:12,173,黑龙江,13,758,944
0,0,2020-05-06 18:16:12,104,香港,4,932,1040
1,0,2020-05-06 18:16:12,94,台湾,6,339,439
2,0,2020-05-06 18:16:12,41,陕西,3,264,308
0,0,2020-05-06 18:16:12,33,内蒙古,1,167,201
0,0,2020-05-06 18:16:12,29,上海,7,620,656
0,0,2020-05-06 18:16:12,29,北京,9,555,593
0,0,2020-05-06 18:16:12,8,吉林,1,103,112
0,0,2020-05-06 18:16:12,6,澳门,0,39,45
0,0,2020-05-06 18:16:12,6,山东,7,775,788
0,0,2020-05-06 18:16:12,5,山西,0,193,198
0,0,2020-05-06 18:16:12,5,广东,8,1575,1588
0,0,2020-05-06 18:16:12,3,江苏,0,650,653
0,0,2020-05-06 18:16:12,2,河北,6,320,328
0,0,2020-05-06 18:16:12,2,云南,2,181,185
0,0,2020-05-06 18:16:12,2,福建,1,353,356
0,0,2020-05-06 18:16:12,1,天津,3,186,190
0,0,2020-05-06 18:16:12,0,重庆,6,573,579
0,0,2020-05-06 18:16:12,0,辽宁,2,144,146
0,0,2020-05-06 18:16:12,0,海南,6,162,168
0,0,2020-05-06 18:16:12,0,湖北,4512,63616,68128
0,0,2020-05-06 18:16:12,0,青海,0,18,18
0,0,2020-05-06 18:16:12,0,广西,2,252,254
0,0,2020-05-06 18:16:12,0,浙江,1,1267,1268
0,0,2020-05-06 18:16:12,0,安徽,6,985,991
0,0,2020-05-06 18:16:12,0,四川,3,558,561
0,0,2020-05-06 18:16:12,0,甘肃,2,137,139
0,0,2020-05-06 18:16:12,0,河南,22,1254,1276
0,0,2020-05-06 18:16:12,0,江西,1,936,937
0,0,2020-05-06 18:16:12,0,湖南,4,1015,1019
0,0,2020-05-06 18:16:12,0,西藏,0,1,1
0,0,2020-05-06 18:16:12,0,宁夏,0,75,75
0,0,2020-05-06 18:16:12,0,贵州,2,145,147
0,0,2020-05-06 18:16:12,0,新疆,3,73,76
