今日新增治愈,今日新增确诊,城市,更新日期,现有确诊,省份,累计死亡,累计治愈,累计确诊
0,13,地区待确认,2020-05-30 09:19:23,40,香港,4,1035,1079
0,0,境外输入,2020-05-30 09:19:23,25,内蒙古,0,130,155
0,0,呼伦贝尔,2020-05-30 09:19:23,0,内蒙古,0,9,9
0,0,包头,2020-05-30 09:19:23,0,内蒙古,0,11,11
0,0,呼和浩特,2020-05-30 09:19:23,0,内蒙古,0,7,7
0,0,乌兰察布,2020-05-30 09:19:23,0,内蒙古,0,3,3
0,0,赤峰,2020-05-30 09:19:23,0,内蒙古,0,9,9
0,0,锡林郭勒,2020-05-30 09:19:23,0,内蒙古,0,9,9
0,0,通辽,2020-05-30 09:19:23,0,内蒙古,0,7,7
0,0,鄂尔多斯,2020-05-30 09:19:23,0,内蒙古,0,11,11
0,0,巴彦淖尔,2020-05-30 09:19:23,0,内蒙古,1,7,8
0,0,兴安盟,2020-05-30 09:19:23,0,内蒙古,0,1,1
0,0,乌海,2020-05-30 09:19:23,0,内蒙古,0,2,2
0,1,地区待确认,2020-05-30 09:19:23,15,台湾,7,420,442
0,0,吉林,2020-05-30 09:19:23,11,吉林,1,36,48
0,0,境外输入,2020-05-30 09:19:23,0,吉林,0,19,19
0,0,通化,2020-05-30 09:19:23,0,吉林,0,6,6
0,0,长春,2020-05-30 09:19:23,0,吉林,0,45,45
0,0,白城,2020-05-30 09:19:23,0,吉林,0,1,1
0,0,四平,2020-05-30 09:19:23,0,吉林,1,14,15
0,0,公主岭,2020-05-30 09:19:23,0,吉林,0,6,6
0,0,辽源,2020-05-30 09:19:23,0,吉林,0,7,7
0,0,延边,2020-05-30 09:19:23,0,吉林,0,5,5
0,0,松原,2020-05-30 09:19:23,0,吉林,0,2,2
0,0,梅河口市,2020-05-30 09:19:23,0,吉林,0,1,1
0,1,境外输入,2020-05-30 09:19:23,7,上海,0,324,331
0,0,外地来沪,2020-05-30 09:19:23,1,上海,1,111,113
0,0,青浦,2020-05-30 09:19:23,0,上海,0,6,6
0,0,宝山,2020-05-30 09:19:23,0,上海,1,21,22
0,0,嘉定,2020-05-30 09:19:23,0,上海,2,7,9
0,0,徐汇,2020-05-30 09:19:23,0,上海,1,17,18
0,0,静安,2020-05-30 09:19:23,0,上海,1,15,16
0,0,黄浦,2020-05-30 09:19:23,0,上海,1,5,6
0,0,浦东,2020-05-30 09:19:23,0,上海,0,61,61
0,0,地区待确认,2020-05-30 09:19:23,0,上海,0,0,0
0,0,崇明,2020-05-30 09:19:23,0,上海,0,4,4
0,0,金山,2020-05-30 09:19:23,0,上海,0,4,4
0,0,虹口,2020-05-30 09:19:23,0,上海,0,7,7
0,0,奉贤,2020-05-30 09:19:23,0,上海,0,9,9
0,0,杨浦,2020-05-30 09:19:23,0,上海,0,9,9
0,0,普陀,2020-05-30 09:19:23,0,上海,0,11,11
0,0,长宁,2020-05-30 09:19:23,0,上海,0,13,13
0,0,松江,2020-05-30 09:19:23,0,上海,0,14,14
0,0,闵行,2020-05-30 09:19:23,0,上海,0,19,19
0,0,境外输入,2020-05-30 09:19:23,3,四川,0,21,24
0,0,遂宁,2020-05-30 09:19:23,0,四川,0,17,17
0,0,甘孜,2020-05-30 09:19:23,0,四川,0,78,78
0,0,乐山,2020-05-30 09:19:23,0,四川,0,3,3
0,0,凉山,2020-05-30 09:19:23,0,四川,0,13,13
0,0,自贡,2020-05-30 09:19:23,0,四川,0,9,9
0,0,攀枝花,2020-05-30 09:19:23,0,四川,0,16,16
0,0,泸州,2020-05-30 09:19:23,0,四川,0,24,24
0,0,德阳,2020-05-30 09:19:23,0,四川,0,18,18
0,0,绵阳,2020-05-30 09:19:23,0,四川,0,22,22
0,0,广元,2020-05-30 09:19:23,0,四川,0,6,6
0,0,成都,2020-05-30 09:19:23,0,四川,3,142,145
0,0,内江,2020-05-30 09:19:23,0,四川,0,22,22
0,0,阿坝,2020-05-30 09:19:23,0,四川,0,1,1
0,0,资阳,2020-05-30 09:19:23,0,四川,0,4,4
0,0,眉山,2020-05-30 09:19:23,0,四川,0,8,8
0,0,雅安,2020-05-30 09:19:23,0,四川,0,7,7
0,0,巴中,2020-05-30 09:19:23,0,四川,0,24,24
0,0,达州,2020-05-30 09:19:23,0,四川,0,42,42
0,0,广安,2020-05-30 09:19:23,0,四川,0,30,30
0,0,宜宾,2020-05-30 09:19:23,0,四川,0,12,12
0,0,南充,2020-05-30 09:19:23,0,四川,0,39,39
0,2,境外输入,2020-05-30 09:19:23,3,山东,0,24,27
0,0,威海,2020-05-30 09:19:23,0,山东,1,37,38
0,0,济宁,2020-05-30 09:19:23,0,山东,0,260,260
0,0,济南,2020-05-30 09:19:23,0,山东,0,47,47
0,0,临沂,2020-05-30 09:19:23,0,山东,0,49,49
0,0,淄博,2020-05-30 09:19:23,0,山东,1,29,30
0,0,枣庄,2020-05-30 09:19:23,0,山东,0,24,24
0,0,泰安,2020-05-30 09:19:23,0,山东,2,33,35
